,Unnamed: 0,Incident Number,Incident Date,Reason for Report,Impact of Incident,Country,State,County,City,Product Registration Number(s),Product Names,PC Codes,Active Ingredient(s),Overall Submission Description (may describe multiple incidents),clean
14008,14008,033742-00032,07/31/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,080803,Atrazine,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14009,14009,033742-00032,07/31/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,060109,Thiamethoxam,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14010,14010,033742-00032,07/31/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,060101,Thiabendazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14011,14011,033742-00032,07/31/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,044309,Clothianidin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14012,14012,033742-00033,07/06/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,044309,Clothianidin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14013,14013,033742-00033,07/06/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,129223,Sedaxane,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14014,14014,033742-00033,07/06/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,129112,Trifloxystrobin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14015,14015,033742-00033,07/06/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,128997,Tebuconazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14016,14016,033742-00033,07/06/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,128847,Difenoconazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14017,14017,033742-00033,07/06/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,125618,Ipconazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14018,14018,033742-00033,07/06/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,113961,Prothioconazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14019,14019,033742-00033,07/06/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,113501,Metalaxyl,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14020,14020,033742-00033,07/06/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,090205,Ethaboxam,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14021,14021,033742-00033,07/06/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,090100,Chlorantraniliprole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14022,14022,033742-00033,07/06/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,080804,Prometon,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14023,14023,033742-00033,07/06/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,060101,Thiabendazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14024,14024,033742-00034,07/06/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,044309,Clothianidin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14025,14025,033742-00034,07/06/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,128997,Tebuconazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14026,14026,033742-00034,07/06/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,090100,Chlorantraniliprole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14027,14027,033742-00034,07/06/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,060101,Thiabendazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14028,14028,033742-00035,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,122101,Propiconazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14029,14029,033742-00035,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,060109,Thiamethoxam,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14030,14030,033742-00035,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,060101,Thiabendazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14031,14031,033742-00035,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,044309,Clothianidin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14032,14032,033742-00035,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,028869,Fluoxastrobin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14033,14033,033742-00035,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,113961,Prothioconazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14034,14034,033742-00035,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,090100,Chlorantraniliprole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14035,14035,033742-00035,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,080804,Prometon,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14036,14036,033742-00035,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,080803,Atrazine,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14037,14037,033742-00035,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,129223,Sedaxane,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14038,14038,033742-00035,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,128997,Tebuconazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14039,14039,033742-00035,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,128847,Difenoconazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14040,14040,033742-00035,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,128810,Azoxystrobin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14041,14041,033742-00035,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,125618,Ipconazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14042,14042,033742-00036,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,044309,Clothianidin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14043,14043,033742-00036,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,128810,Azoxystrobin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14044,14044,033742-00036,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,122101,Propiconazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14045,14045,033742-00036,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,080803,Atrazine,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14046,14046,033742-00037,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,044309,Clothianidin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14047,14047,033742-00037,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,129200,Picoxystrobin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14048,14048,033742-00037,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,128810,Azoxystrobin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14049,14049,033742-00037,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,113961,Prothioconazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14050,14050,033742-00038,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,090100,Chlorantraniliprole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14051,14051,033742-00038,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,044309,Clothianidin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14052,14052,033742-00038,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,028869,Fluoxastrobin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14053,14053,033742-00038,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,128810,Azoxystrobin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14054,14054,033742-00039,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,028869,Fluoxastrobin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14055,14055,033742-00039,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,128810,Azoxystrobin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14056,14056,033742-00039,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,125618,Ipconazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14057,14057,033742-00039,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,122101,Propiconazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14058,14058,033742-00039,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,113961,Prothioconazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14059,14059,033742-00039,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,108801,Metolachlor,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14060,14060,033742-00039,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,090100,Chlorantraniliprole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14061,14061,033742-00039,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,060109,Thiamethoxam,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14062,14062,033742-00039,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,044309,Clothianidin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14063,14063,033742-00040,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,028869,Fluoxastrobin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14064,14064,033742-00040,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,128810,Azoxystrobin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14065,14065,033742-00040,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,122101,Propiconazole,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
14066,14066,033742-00040,07/14/2020,Adverse Reaction,ON - Other Nontarget,US,NE,,Meade,,,099100,Pyraclostrobin,"EFED; purported bee kill at a field station of the University of Nebraska (located near Meade, NE). Based on the residue analysis (attached) provided by the
university researcher she believes that colony losses at the university field station may be due to pesticide residues associated with an ethanol-production plant. (JK)","efed; purported bee kill field station university nebraska (located near meade, ne). based residue analysis (attached) provided university researcher believes colony losses university field station may due pesticide residues associated ethanol-production plant. (jk)"
